sid,search,"splunk_server","_time","is_realtime",provenance,"api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","savedsearch_name","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time","__mv_savedsearch_name"
"rt_md_1562442828.9","| metadata type=sourcetypes | search totalCount > 0",f46a6fe235b2,"1562442828.827244",1,"UI:Search",,,0,1562442829,0,0,,,canceled,"41.078",,,,,,,,,,,,,,,,,,
"1562442869.10","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount | predict ""invoice_amount"" as prediction algorithm=LLP5 holdback=0 future_timespan=5 upper0=upper0 lower0=lower0 | `forecastviz(5, 0, ""invoice_amount"", 0)`",f46a6fe235b2,"1562442869.759652",0,"UI:Search","1562353200.000000000","1562442869.000000000",0,1562442870,0,0,"1562353200.000000000","1562442869.000000000",completed,"0.863",,,,,,,,,,,,,,,,,,
"1562442901.11","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount | predict ""invoice_amount"" as prediction algorithm=LLP5 holdback=0 future_timespan=5 upper0=upper0 lower0=lower0 | `forecastviz(5, 0, ""invoice_amount"", 0)`",f46a6fe235b2,"1562442901.528364",0,"UI:Search",,,21,1562442902,26,21,,,completed,"0.862",,,,,,,,,,,,,,,,,,
"rt_md_1562442927.12","| metadata type=sourcetypes | search totalCount > 0",f46a6fe235b2,"1562442927.628660",1,"UI:Search",,,0,1562442928,0,0,,,canceled,"14.105",,,,,,,,,,,,,,,,,,
"1562442941.13","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562442941.649044",0,"UI:Search","1562353200.000000000","1562442941.000000000",0,1562442942,0,0,"1562353200.000000000","1562442941.000000000",completed,"0.277",,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562442964.14","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562442964.848779",0,splunkjs,,,0,1562442966,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562442984.15","search search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562442984.886746",0,splunkjs,,,0,1562442985,0,0,,,canceled,"0.356",searchBarSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD50c11eb8f5ef38736_1562442986.16","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562442984.15 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""",f46a6fe235b2,"1562442986.072230",0,splunkjs,,,0,1562442986,0,0,,,canceled,"0.015",predictionFieldsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562442999.17","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562442999.567341",0,splunkjs,,,21,1562442999,21,21,,,canceled,"0.077",searchBarSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD50c11eb8f5ef38736_1562442999.18","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562442999.17 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""",f46a6fe235b2,"1562442999.707387",0,splunkjs,,,0,1562442999,1,0,,,canceled,"0.015",predictionFieldsSearch,,,,,,,,,,,,,,,,,
